protein_ID,ASCA_PC1_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_ISCW_ISCW008316.1.3.m.11997,0.0364347445620946,Yes,darkorange3,orange,Q8MQI6,Transcription elongation factor 1 homolog,ELOF1 family,CG40228,transcription elongation factor complex [GO:0008023]; metal ion binding [GO:0046872]; RNA polymerase II complex binding [GO:0000993]; chromatin-mediated maintenance of transcription [GO:0048096]; transcription elongation from RNA polymerase II promoter [GO:0006368],GO:0000993; GO:0006368; GO:0008023; GO:0046872; GO:0048096,NA,NA
CHOYP_LOC100696604.1.1.m.40638,0.0487399307286711,Yes,darkorange3,orange,Q5M9G3,Caprin-1 (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (RNA granule protein 105),Caprin family,Caprin1 Gpiap1 Rng105,cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; P-body [GO:0000932]; postsynapse [GO:0098794]; RNA binding [GO:0003723]; negative regulation of translation [GO:0017148]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of dendritic spine morphogenesis [GO:0061003],GO:0000932; GO:0003723; GO:0005829; GO:0010494; GO:0017148; GO:0030425; GO:0050775; GO:0061003; GO:0098794; GO:0098978,NA,NA
CHOYP_LOC100876515.1.2.m.37063,0.0340313868691063,Yes,darkorange3,orange,Q8NF91,Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1),Nesprin family,SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; meiotic nuclear membrane microtubule tethering complex [GO:0034993]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear outer membrane [GO:0005640]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; postsynaptic membrane [GO:0045211]; sarcomere [GO:0030017]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; lamin binding [GO:0005521]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; cytoskeletal anchoring at nuclear membrane [GO:0090286]; Golgi organization [GO:0007030]; muscle cell differentiation [GO:0042692]; nuclear matrix anchoring at nuclear membrane [GO:0090292]; nucleus organization [GO:0006997]; spermatogenesis [GO:0007283],GO:0000932; GO:0003723; GO:0003779; GO:0005521; GO:0005634; GO:0005635; GO:0005640; GO:0005654; GO:0005730; GO:0005737; GO:0005794; GO:0005856; GO:0006997; GO:0007030; GO:0007283; GO:0016021; GO:0019899; GO:0030017; GO:0031965; GO:0034993; GO:0042692; GO:0042802; GO:0042803; GO:0045211; GO:0051015; GO:0090286; GO:0090292,NA,NA
CHOYP_CNOT1.1.1.m.12106,0.0337483662398224,Yes,darkorange3,orange,O54879,High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4),HMGB family,Hmgb3 Hmg2a Hmg4,cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA binding; bending [GO:0008301]; four-way junction DNA binding [GO:0000400]; RNA binding [GO:0003723]; transcription factor binding [GO:0008134]; chromatin remodeling [GO:0006338]; DNA geometric change [GO:0032392]; DNA recombination [GO:0006310]; innate immune response [GO:0045087]; negative regulation of B cell differentiation [GO:0045578]; negative regulation of myeloid cell differentiation [GO:0045638]; positive regulation of innate immune response [GO:0045089]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357],GO:0000400; GO:0000790; GO:0003677; GO:0003723; GO:0005634; GO:0005737; GO:0006310; GO:0006338; GO:0006357; GO:0008134; GO:0008301; GO:0032392; GO:0045087; GO:0045089; GO:0045578; GO:0045638; GO:0045944,NA,NA
CHOYP_KPYK.2.4.m.19753,0.0440683374397851,Yes,darkorange3,orange,P00548,Pyruvate kinase PKM (EC 2.7.1.40),Pyruvate kinase family,PKM,cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; cellular response to insulin stimulus [GO:0032869]; glycolytic process [GO:0006096],GO:0000287; GO:0004743; GO:0005524; GO:0005737; GO:0005829; GO:0006096; GO:0016301; GO:0030955; GO:0032869,NA,NA
CHOYP_LOC100120260.1.1.m.41888,0.0317054443837385,Yes,darkorange3,orange,Q62685,Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear receptor subfamily 1 group H member 3) (RLD-1),Nuclear hormone receptor family; NR1 subfamily,Nr1h3 Lxra,cytoplasm [GO:0005737]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]; DNA-binding transcription factor activity; RNA polymerase II-specific [GO:0000981]; nuclear receptor transcription coactivator activity [GO:0030374]; protein heterodimerization activity [GO:0046982]; retinoid X receptor binding [GO:0046965]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; signaling receptor activity [GO:0038023]; steroid hormone receptor activity [GO:0003707]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]; cell differentiation [GO:0030154]; cellular response to lipopolysaccharide [GO:0071222]; cholesterol homeostasis [GO:0042632]; insulin receptor signaling pathway [GO:0008286]; lipid homeostasis [GO:0055088]; lipid metabolic process [GO:0006629]; multicellular organism development [GO:0007275]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of inflammatory response [GO:0050728]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription; DNA-templated [GO:0045893]; regulation of nuclear receptor transcription coactivator activity [GO:2000325],GO:0000122; GO:0000976; GO:0000977; GO:0000981; GO:0003707; GO:0003713; GO:0005634; GO:0005737; GO:0006629; GO:0007275; GO:0008134; GO:0008270; GO:0008286; GO:0010875; GO:0030154; GO:0030374; GO:0038023; GO:0042632; GO:0043565; GO:0045893; GO:0045944; GO:0046965; GO:0046982; GO:0050728; GO:0055088; GO:0071222; GO:0090575; GO:0120163; GO:2000325,NA,NA
CHOYP_NEMVEDRAFT_V1G236573.1.2.m.46431,0.0397212046729513,Yes,darkorange3,orange,P74148,Universal stress protein Sll1388 (USP Sll1388),Universal stress protein A family,sll1388,,,NA,NA
CHOYP_TPM.17.19.m.63919,-0.038184099561342,Yes,darkorange3,orange,Q25145,Tropomyosin,Tropomyosin family,,,,NA,NA
CHOYP_NEMVEDRAFT_V1G236658.5.6.m.34525,0.046574543792385,Yes,darkorange3,orange,O07552,Stress response protein NhaX,Universal stress protein A family,nhaX yheK BSU09690,,,NA,NA
CHOYP_LOC101173335.4.4.m.49816,-0.0375031059419185,Yes,darkorange3,orange,Q24799,Myophilin,Calponin family,,,,NA,NA
CHOYP_BRAFLDRAFT_118602.3.5.m.19626,0.0302841460573674,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_126750.1.1.m.40768,0.0387155972089783,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_220356.5.6.m.38505,0.0332496963063462,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CELE_F01D5.5.1.1.m.4265,0.0323176953364577,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_000189.m.198,0.0314069232279591,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_002417.m.2661,0.0321775587626591,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_005396.m.6126,0.0349214431822852,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_010154.m.11827,0.0585189920159753,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016120.m.18916,0.0310344813475314,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016292.m.19158,0.032519365417585,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_016854.m.19834,0.0326660332169416,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_033740.m.38360,0.0425084469421515,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_038550.m.43669,0.0516837664040218,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_039208.m.44410,0.037890069122054,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_041288.m.47081,0.0326050896617945,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043280.m.49983,0.0531462297749919,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_043576.m.50359,0.0448894740070202,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_049548.m.58834,0.0396735000943017,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_EPDR2.1.1.m.33988,0.0372922317856208,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_FMRF.2.4.m.37051,0.0361145981845987,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_IMSP5.2.2.m.17779,0.0480941614804913,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW000210.4.4.m.38490,0.0475391790417226,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100205674.1.1.m.5810,0.0534299884311217,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100635182.1.1.m.5368,0.0464996716166504,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100705966.1.1.m.45957,0.030588619364483,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC574855.1.9.m.547,0.0376916622500993,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC586122.3.4.m.63155,0.0344320729127407,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G243463.1.1.m.49871,0.0368495118116784,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_RSSA.3.10.m.22114,0.0325632805350421,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_SREC2.9.9.m.66799,0.0331986940618254,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_TMEL_0889.1.2.m.168,0.0313244767535352,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_TRI33.5.8.m.56889,0.0335253995893339,Yes,darkorange3,orange,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_114350.1.1.m.14176,-0.034645955222402,Yes,cyan4,dark teal,A6H791,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A (EC 2.1.1.220) (mRNA methyladenosine-N(1)-methyltransferase catalytic subunit TRMT61A) (EC 2.1.1.-) (tRNA(m1A58)-methyltransferase subunit TRMT61A) (tRNA(m1A58)MTase subunit TRMT61A),Class I-like SAM-binding methyltransferase superfamily; TRM61 family,TRMT61A TRM61,nucleus [GO:0005634]; tRNA (m1A) methyltransferase complex [GO:0031515]; mRNA (adenine-N1-)-methyltransferase activity [GO:0061953]; tRNA (adenine-N1-)-methyltransferase activity [GO:0016429]; mRNA methylation [GO:0080009]; tRNA methylation [GO:0030488],GO:0005634; GO:0016429; GO:0030488; GO:0031515; GO:0061953; GO:0080009,GO:0080009,cellular nitrogen compound metabolic process
CHOYP_MET14.1.1.m.5073,-0.0344132533299315,Yes,cyan4,dark teal,Q6NZ22,N6-adenosine-methyltransferase non-catalytic subunit (Methyltransferase-like protein 14),MT-A70-like family,mettl14 zgc:77296,nucleus [GO:0005634]; RNA N6-methyladenosine methyltransferase complex [GO:0036396]; mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity [GO:0016422]; mRNA (N6-adenosine)-methyltransferase activity [GO:0001734]; mRNA binding [GO:0003729]; forebrain radial glial cell differentiation [GO:0021861]; gliogenesis [GO:0042063]; mRNA destabilization [GO:0061157]; mRNA methylation [GO:0080009]; mRNA splicing; via spliceosome [GO:0000398]; RNA methylation [GO:0001510]; spermatogenesis [GO:0007283]; stem cell population maintenance [GO:0019827],GO:0000398; GO:0001510; GO:0001734; GO:0003729; GO:0005634; GO:0007283; GO:0016422; GO:0019827; GO:0021861; GO:0036396; GO:0042063; GO:0061157; GO:0080009,GO:0080009,cellular nitrogen compound metabolic process
CHOYP_PCDH9.5.5.m.59488,-0.0417370566959767,Yes,cyan4,dark teal,O95453,Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Deadenylating nuclease) (Deadenylation nuclease) (Polyadenylate-specific ribonuclease),CAF1 family,PARN DAN,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; 3'-5'-exoribonuclease activity [GO:0000175]; cation binding [GO:0043169]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; nuclease activity [GO:0004518]; poly(A)-specific ribonuclease activity [GO:0004535]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; telomerase RNA binding [GO:0070034]; box H/ACA snoRNA 3'-end processing [GO:0000495]; female gamete generation [GO:0007292]; miRNA catabolic process [GO:0010587]; ncRNA deadenylation [GO:0110008]; nuclear-transcribed mRNA catabolic process; nonsense-mediated decay [GO:0000184]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; polyadenylation-dependent snoRNA 3'-end processing [GO:0071051]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of mRNA stability [GO:0043488]; regulation of telomerase RNA localization to Cajal body [GO:1904872]; RNA modification [GO:0009451]; RNA phosphodiester bond hydrolysis; exonucleolytic [GO:0090503]; telomerase RNA stabilization [GO:0090669],GO:0000175; GO:0000184; GO:0000289; GO:0000495; GO:0003723; GO:0003730; GO:0004518; GO:0004535; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0007292; GO:0009451; GO:0010587; GO:0019901; GO:0032212; GO:0043169; GO:0043488; GO:0046872; GO:0051973; GO:0070034; GO:0071051; GO:0090503; GO:0090669; GO:0110008; GO:1904872,GO:0071051,cellular nitrogen compound metabolic process
CHOYP_NRDC.1.1.m.28526,-0.0337606559708029,Yes,cyan4,dark teal,Q8BHG1,Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase),Peptidase M16 family,Nrdc Nrd1,mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptidase activity [GO:0008233]; negative regulation of cold-induced thermogenesis [GO:0120163]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; regulation of endopeptidase activity [GO:0052548],GO:0004222; GO:0005739; GO:0008233; GO:0046872; GO:0051044; GO:0052548; GO:0120163,GO:0052548,NA
CHOYP_BRAFLDRAFT_84054.1.2.m.8523,-0.0315993633380111,Yes,cyan4,dark teal,Q4R918,Kinesin-like protein KIF25,TRAFAC class myosin-kinesin ATPase superfamily; Kinesin family,KIF25 QtsA-10923,centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity; minus-end-directed [GO:0008569]; microtubule binding [GO:0008017]; establishment of spindle orientation [GO:0051294]; microtubule-based movement [GO:0007018]; negative regulation of mitotic centrosome separation [GO:0046603]; nucleus localization [GO:0051647]; protein homotetramerization [GO:0051289],GO:0005524; GO:0005737; GO:0005813; GO:0005874; GO:0007018; GO:0008017; GO:0008569; GO:0046603; GO:0051289; GO:0051294; GO:0051647,GO:0051289,cellular component assembly; protein-containing complex assembly
CHOYP_BRAFLDRAFT_278918.4.5.m.39356,-0.0581339124653545,Yes,cyan4,dark teal,Q8MP06,Senecionine N-oxygenase (SNO) (EC 1.14.13.101),FMO family,sno1,extracellular region [GO:0005576]; flavin adenine dinucleotide binding [GO:0050660]; N;N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]; senecionine N-oxygenase activity [GO:0033784]; alkaloid metabolic process [GO:0009820]; oxidation-reduction process [GO:0055114]; protein homotetramerization [GO:0051289],GO:0004499; GO:0005576; GO:0009820; GO:0033784; GO:0050660; GO:0050661; GO:0051289; GO:0055114,GO:0051289,cellular component assembly; protein-containing complex assembly
CHOYP_NEMVEDRAFT_V1G235461.1.1.m.28341,-0.0294276093394909,Yes,cyan4,dark teal,Q8MP06,Senecionine N-oxygenase (SNO) (EC 1.14.13.101),FMO family,sno1,extracellular region [GO:0005576]; flavin adenine dinucleotide binding [GO:0050660]; N;N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]; senecionine N-oxygenase activity [GO:0033784]; alkaloid metabolic process [GO:0009820]; oxidation-reduction process [GO:0055114]; protein homotetramerization [GO:0051289],GO:0004499; GO:0005576; GO:0009820; GO:0033784; GO:0050660; GO:0050661; GO:0051289; GO:0055114,GO:0051289,cellular component assembly; protein-containing complex assembly
CHOYP_EXOS3.1.1.m.10596,-0.0269799167434429,Yes,cyan4,dark teal,Q9NQT5,Exosome complex component RRP40 (Exosome component 3) (Ribosomal RNA-processing protein 40) (p10),RRP40 family,EXOSC3 RRP40 CGI-102,cytoplasm [GO:0005737]; cytoplasmic exosome (RNase complex) [GO:0000177]; cytosol [GO:0005829]; exosome (RNase complex) [GO:0000178]; nuclear exosome (RNase complex) [GO:0000176]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptionally active chromatin [GO:0035327]; 3'-5'-exoribonuclease activity [GO:0000175]; RNA binding [GO:0003723]; CUT catabolic process [GO:0071034]; DNA deamination [GO:0045006]; exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay [GO:0043928]; exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA; 5.8S rRNA; LSU-rRNA) [GO:0000467]; isotype switching [GO:0045190]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear polyadenylation-dependent tRNA catabolic process [GO:0071038]; nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription [GO:0071049]; nuclear-transcribed mRNA catabolic process; exonucleolytic; 3'-5' [GO:0034427]; polyadenylation-dependent snoRNA 3'-end processing [GO:0071051]; positive regulation of isotype switching [GO:0045830]; regulation of mRNA stability [GO:0043488]; rRNA processing [GO:0006364]; U4 snRNA 3'-end processing [GO:0034475],GO:0000175; GO:0000176; GO:0000177; GO:0000178; GO:0000467; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006364; GO:0034427; GO:0034475; GO:0035327; GO:0043488; GO:0043928; GO:0045006; GO:0045190; GO:0045830; GO:0071034; GO:0071035; GO:0071038; GO:0071049; GO:0071051,GO:0043928; GO:0071051,catabolic process; cellular nitrogen compound metabolic process; nucleobase-containing compound catabolic process
